offreId,competenceId,confiance,sourceMethod,candidateText,candidateKind,evidence,candidateScore,matchKey,matchScore
OFF_002,FAIRE,0.665,hybrid_soft_sections+verbs+NP+spacy+fuzzy,faire,VERB,"Vous aimez le travail en équipe
Vous savez faire preuve de flexibilité, mais également prendre des décisions, arbitrer et respecter des engagements
Vous aimez intervenir dans un environnement dynamique avec la possibilit",0.462,faire,100.0
OFF_002,APPRENDRE,0.582,hybrid_soft_sections+verbs+NP+spacy+fuzzy,prendre,VERB,"Vous aimez le travail en équipe
Vous savez faire preuve de flexibilité, mais également prendre des décisions, arbitrer et respecter des engagements
Vous aimez intervenir dans un environnement dynamique avec la possibilit",0.462,apprendre,87.5
OFF_003,ASSURER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,assurer,VERB,"enseignant(e) vacataire / freelance 
pour assurer des enseignements 100% en français auprès d’un public d’étudiants",1.8,assurer,100.0
OFF_003,ANTICIPER,0.842,hybrid_soft_sections+verbs+NP+spacy+fuzzy,participer,VERB,"Le cas échéant, participer à des événements académiques : conférences, jurys, soutenances, ateliers.
Profil recherché
Formation supérieure :",1.2,anticiper,84.21052631578947
OFF_003,RECHERCHER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,rechercher,VERB,"Le cas échéant, participer à des événements académiques : conférences, jurys, soutenances, ateliers.
Profil recherché
Formation supérieure :",1.2,rechercher,100.0
OFF_003,CONFIER,0.875,hybrid_soft_sections+verbs+NP+spacy+fuzzy,confirmer,VERB,Expérience confirmée dans l’enseignement,1.2,confier,87.5
OFF_003,STRUCTURER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,structurer,VERB,", interventions thématiques)
Histoire de l’art
Structurer les contenus pédagogiques : plan de cours, syllabus, bibliographie, supports (PPT/lectures), études de cas.",1.0,structurer,100.0
OFF_003,EVALUER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,evaluer,VERB,"Animer les séances : exposés, analyses d’œuvres, discussions, travaux de groupe, présentations d’étudiants.
Évaluer les apprentissages :",1.0,evaluer,100.0
OFF_003,TRANSMETTRE,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,transmettre,VERB,"Aptitude à transmettre des concepts de manière claire, interactive et rigoureuse.",1.0,transmettre,100.0
OFF_003,ANALYSER,0.887,hybrid_soft_sections+verbs+NP+spacy+fuzzy,analyse,NP,analyse,0.8,analyser,93.33333333333333
OFF_003,ANIMER,0.95,hybrid_soft_sections+verbs+NP+spacy+fuzzy,animer,NP,Animer,0.8,animer,100.0
OFF_004,ACCOMPAGNER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,accompagner,VERB,"médicaux mensuels pour partager les connaissances et discuter des cas
Médecin référent et équipe paramédicale dédiée pour vous accompagner au quotidien",2.0,accompagner,100.0
OFF_004,CONCEVOIR,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,concevoir,VERB,Vous exercerez dans un environnement technologique et collaboratif conçu pour vous permettre de vous concentrer sur votre cœur de métier.,1.25,concevoir,100.0
OFF_004,REALISER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,realiser,VERB,Réaliser des examens cliniques complets : cartographie corporelle et analyse dermoscopique,1.25,realiser,100.0
OFF_004,DISCUTER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,discuter,VERB,"médicaux mensuels pour partager les connaissances et discuter des cas
Médecin référent et équipe paramédicale dédiée pour vous accompagner au quotidien",1.2,discuter,100.0
OFF_004,RECHERCHER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,rechercher,VERB,"Aucune charge annexe ni contrainte de volume de consultations
Profil recherché",1.2,rechercher,100.0
OFF_004,CONTRIBUER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,contribuer,VERB,"En rejoignant DermaScan, vous intégrerez une équipe pluridisciplinaire où chaque membre contribue à une prise en charge fluide et exigeante sur le plan médical.",1.1,contribuer,100.0
OFF_004,VALORISER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,valoriser,VERB,"Un modèle de travail en réseau qui valorise la coordination et la continuité de la prise en charge
Conditions et avantages

Rémunération à partir de 100 € de l’heure, avec transparence sur les revenus
Planning libre, 1 à",1.1,valoriser,100.0
OFF_004,REPARTIR,0.857,hybrid_soft_sections+verbs+NP+spacy+fuzzy,partir,VERB,"Un modèle de travail en réseau qui valorise la coordination et la continuité de la prise en charge
Conditions et avantages

Rémunération à partir de 100 € de l’heure, avec transparence sur les revenus
Planning libre, 1 à",1.1,repartir,85.71428571428572
OFF_004,OFFRIR,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,offrir,VERB,"Ce que nous vous offrons

Un environnement technologique au service de la médecine",1.0,offrir,100.0
OFF_004,TESTER,0.833,hybrid_soft_sections+verbs+NP+spacy+fuzzy,rester,VERB,"vous restez concentré sur le soin, pas sur la paperasse",1.0,tester,83.33333333333334
OFF_004,STRUCTURER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,structurer,VERB,Une pratique collective et structurée,1.0,structurer,100.0
OFF_004,ASSURER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,assurer,VERB,Formations continues assurées par des onco-dermatologues experts,1.0,assurer,100.0
OFF_004,EVALUER,0.857,hybrid_soft_sections+verbs+NP+spacy+fuzzy,evoluer,VERB,"Vous évoluerez dans un cadre moderne, technologique et bienveillant, où chaque outil, chaque collaboration et chaque formation sont pensés pour une seule finalité : améliorer la détection précoce et la santé de vos patie",1.0,evaluer,85.71428571428572
OFF_004,AMELIORER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,ameliorer,VERB,"Vous évoluerez dans un cadre moderne, technologique et bienveillant, où chaque outil, chaque collaboration et chaque formation sont pensés pour une seule finalité : améliorer la détection précoce et la santé de vos patie",1.0,ameliorer,100.0
OFF_004,ANALYSER,0.887,hybrid_soft_sections+verbs+NP+spacy+fuzzy,analyse,NP,analyse,0.8,analyser,93.33333333333333
OFF_004,PRESENTER,0.8,hybrid_soft_sections+verbs+NP+spacy+fuzzy,presentiel,NP,présentiel,0.8,presenter,84.21052631578947
OFF_005,PREPARER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,preparer,VERB,"Ces différentes composantes font de l'EDHEC un centre de connaissances, d'expériences et de diversité, destiné à préparer les nouvelles générations de managers à exceller dans un monde en pleine mutation.",1.5,preparer,100.0
OFF_005,ASSISTER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,assister,VERB,"Assistant RH 
À propos de l’offre d’emploi
Fondée en 1906, l'EDHEC est aujourd'hui l'une des 10 meilleures écoles de commerce en Europe.",1.25,assister,100.0
OFF_005,DEVELOPPER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,developper,VERB,"Forte de ses valeurs fondamentales d'excellence, d'innovation et d'esprit d'entreprise, l'EDHEC a développé un modèle stratégique fondé sur une recherche réellement utile à la société, aux entreprises et aux étudiants.",1.25,developper,100.0
OFF_005,FORMER,0.909,hybrid_soft_sections+verbs+NP+spacy+fuzzy,forme,VERB,"Basée à Lille, Nice, Paris, Londres et Singapour, et comptant plus de 90 nationalités sur ses campus, l'EDHEC est une école entièrement internationale directement connectée au monde de l'entreprise.
Avec plus de 60 000 d",1.2,former,90.9090909090909
OFF_005,OFFRIR,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,offrir,VERB,"Assistant RH 
À propos de l’offre d’emploi
Fondée en 1906, l'EDHEC est aujourd'hui l'une des 10 meilleures écoles de commerce en Europe.",1.0,offrir,100.0
OFF_005,PROPOSER,0.814,hybrid_soft_sections+verbs+NP+spacy+fuzzy,propos,NP,propos,0.8,proposer,85.71428571428572
OFF_006,OFFRIR,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,offrir,VERB,"Humaines
À propos de l’offre d’",2.0,offrir,100.0
OFF_006,STRUCTURER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,structurer,VERB,"Notre cabinet est structuré (pôle juridique, pôle social, pôle comptable, pôle Cac) et de nombreuses fonctions support viennent en appui des équipes (services généraux, service comptable interne, service informatique, se",1.0,structurer,100.0
OFF_006,ANTICIPER,0.842,hybrid_soft_sections+verbs+NP+spacy+fuzzy,participer,VERB,"Vous travaillerez dans une ambiance de travail conviviale et participerez à des évènements teambuilding organisés tout au long de l'année (petits déjeuners, séminaires, soirées, afterworks, ect.",1.0,anticiper,84.21052631578947
OFF_006,BUDGETER,0.814,hybrid_soft_sections+verbs+NP+spacy+fuzzy,budget,NP,budget,0.8,budgeter,85.71428571428572
OFF_006,PROPOSER,0.814,hybrid_soft_sections+verbs+NP+spacy+fuzzy,propos,NP,propos,0.8,proposer,85.71428571428572
OFF_007,PROGRESSER,0.833,hybrid_soft_sections+verbs+NP+spacy+fuzzy,progressivemer,VERB,"Il a vocation à reprendre progressivement la relation client BNC aujourd’hui assurée par le fondateur, expert-comptable, et à structurer une fonction relation client pérenne et duplicable.",2.32,progresser,83.33333333333334
OFF_007,ASSURER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,assurer,VERB,"Il a vocation à reprendre progressivement la relation client BNC aujourd’hui assurée par le fondateur, expert-comptable, et à structurer une fonction relation client pérenne et duplicable.",2.0,assurer,100.0
OFF_007,COMPOSER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,composer,VERB,"Vos missions

Vous rejoindrez une équipe dynamique et prendrez progressivement en charge un portefeuille d’environ 700 dossiers BNC simples, majoritairement composés d’entreprises individuelles d’avocats collaborateurs, ",1.65,composer,100.0
OFF_007,CONSEILLER,0.824,hybrid_soft_sections+verbs+NP+spacy+fuzzy,conseil,NP,conseil,1.6,conseiller,82.35294117647058
OFF_007,COORDONNER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,coordonner,VERB,"Vous coordonnez les échanges avec l’équipe en charge de la production comptable, dans une logique de qualité, de fluidité et de satisfaction client.",1.375,coordonner,100.0
OFF_007,CONFIER,0.875,hybrid_soft_sections+verbs+NP+spacy+fuzzy,confirmer,VERB,"Votre profil

 Vous avez une expérience confirmée en environnement de services B2B exigeant, idéalement en cabinet d’expertise comptable, cabinet de conseil ou structure de services professionnels.",1.2,confier,87.5
OFF_007,OFFRIR,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,offrir,VERB,"Professions libérales (H/F)

À propos de l’offre d’",1.0,offrir,100.0
OFF_007,STRUCTURER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,structurer,VERB,"Il a vocation à reprendre progressivement la relation client BNC aujourd’hui assurée par le fondateur, expert-comptable, et à structurer une fonction relation client pérenne et duplicable.",1.0,structurer,100.0
OFF_007,CONTRIBUER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,contribuer,VERB,"Vous contribuez à l’amélioration des process, à la mise en place d’indicateurs de qualité et à la structuration de la fonction relation client BNC.
À moyen terme, vous participerez à la création et à l’encadrement d’une ",1.0,contribuer,100.0
OFF_007,ANTICIPER,0.842,hybrid_soft_sections+verbs+NP+spacy+fuzzy,participer,VERB,"Vous contribuez à l’amélioration des process, à la mise en place d’indicateurs de qualité et à la structuration de la fonction relation client BNC.
À moyen terme, vous participerez à la création et à l’encadrement d’une ",1.0,anticiper,84.21052631578947
OFF_007,ANIMER,0.909,hybrid_soft_sections+verbs+NP+spacy+fuzzy,aimer,VERB,"Vous aimez le contact client, savez expliquer, rassurer et fidéliser une clientèle exigeante.",1.0,animer,90.9090909090909
OFF_007,APPRECIER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,apprecier,VERB,Une aisance commerciale est appréciée pour la fidélisation et le développement du portefeuille.,1.0,apprecier,100.0
OFF_007,PROPOSER,0.814,hybrid_soft_sections+verbs+NP+spacy+fuzzy,propos,NP,propos,0.8,proposer,85.71428571428572
OFF_007,APPRENDRE,0.582,hybrid_soft_sections+verbs+NP+spacy+fuzzy,prendre,VERB,"Vos missions

Vous rejoindrez une équipe dynamique et prendrez progressivement en charge un portefeuille d’environ 700 dossiers BNC simples, majoritairement composés d’entreprises individuelles d’avocats collaborateurs, ",0.462,apprendre,87.5
OFF_007,CREER,0.665,hybrid_soft_sections+verbs+NP+spacy+fuzzy,creer,VERB,Ce poste clé est créé dans un contexte de structuration et de développement.,0.438,creer,100.0
OFF_008,OFFRIR,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,offrir,VERB,"La réalisation de l'ensemble des opérations nécessaires à l'établissement des états financiers : Comptes annuels, liasses fiscales, bilan imagé,
La supervision des travaux de tenue et des déclarations fiscales récurrente",3.2,offrir,100.0
OFF_008,ACCOMPAGNER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,accompagner,VERB,"Fondé en 2021, notre cabinet se distingue par son approche humaine et coopérative, offrant une expertise pluridisciplinaire pour accompagner les TPE, PME, artisans, commerçants, et professions libérales dans leur croissa",2.0,accompagner,100.0
OFF_008,COMPTABLISER,0.857,hybrid_soft_sections+verbs+NP+spacy+fuzzy,comptable,NP,Comptable,1.6,comptabliser,85.71428571428572
OFF_008,CONTRIBUER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,contribuer,VERB,"La réalisation de l'ensemble des opérations nécessaires à l'établissement des états financiers : Comptes annuels, liasses fiscales, bilan imagé,
La supervision des travaux de tenue et des déclarations fiscales récurrente",1.2,contribuer,100.0
OFF_008,STIMULER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,stimuler,VERB,"Nos petits + ?
Un environnement de travail stimulant au sein de nos locaux
RTT pour soutenir votre équilibre personnel et professionnel
Des opportunités de formation continue pour vous accompagner dans votre développemen",1.0,stimuler,100.0
OFF_008,CONFIER,0.875,hybrid_soft_sections+verbs+NP+spacy+fuzzy,confirmer,VERB,Collaborateur comptable confirmé / Expert,1.0,confier,87.5
OFF_008,PROGRESSER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,progresser,VERB,"Avez-vous l'ambition de progresser au sein d'un cabinet comptable qui allie un environnement agréable, une diversité de dossiers et un équilibre entre vie professionnelle et personnelle ?",1.0,progresser,100.0
OFF_008,COMPTABILISER,0.836,hybrid_soft_sections+verbs+NP+spacy+fuzzy,comptabilite,NP,comptabilité,0.8,comptabiliser,88.0
OFF_008,PROPOSER,0.814,hybrid_soft_sections+verbs+NP+spacy+fuzzy,propos,NP,propos,0.8,proposer,85.71428571428572
OFF_008,APPRENDRE,0.582,hybrid_soft_sections+verbs+NP+spacy+fuzzy,prendre,VERB,Prenez votre envol en rejoignant bee-Xpert C&EC !,0.35,apprendre,87.5
OFF_009,PROMOUVOIR,0.824,hybrid_soft_sections+verbs+NP+spacy+fuzzy,pouvoir,VERB,"Nous les aidons à fortement remonter leurs notes, retrouver confiance en eux et pouvoir choisir les études de leurs rêves.",2.2,promouvoir,82.35294117647058
OFF_009,CHOISIR,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,choisir,VERB,"C'est toi qui choisis, on s'adapte.",2.0,choisir,100.0
OFF_009,ADAPTER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,adapter,VERB,"C'est toi qui choisis, on s'adapte.",1.25,adapter,100.0
OFF_009,RECHERCHER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,rechercher,VERB,"C'est simple, nous recherchons 3 critères principaux :

Professeur de mathématiques et/ou physique et/ou SVT
À propos de l’offre d’emploi
😊💼 Professeurs particuliers passionnés par l'enseignement, nous avons une opportun",1.2,rechercher,100.0
OFF_009,OFFRIR,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,offrir,VERB,"C'est simple, nous recherchons 3 critères principaux :

Professeur de mathématiques et/ou physique et/ou SVT
À propos de l’offre d’emploi
😊💼 Professeurs particuliers passionnés par l'enseignement, nous avons une opportun",1.2,offrir,100.0
OFF_009,TRANSMETTRE,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,transmettre,VERB,"Pédagogue : tu dois avoir cette capacité à transmettre la connaissance, à réexpliquer plusieurs fois jusqu'à ce que l'élève ait le déclic.",1.2,transmettre,100.0
OFF_009,ACCOMPAGNER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,accompagner,VERB,"Nous sommes un Centre de Réussite Scolaire, en ligne, et nous accompagnons les élèves de collège et lycée dans un cadre extra scolaire.",1.0,accompagner,100.0
OFF_009,GUIDER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,guider,VERB,"Tu dois également être à l'écoute de l'élève pour le guider sur le chemin de la compréhension, sans lui imposer une vision unique.
Passionné : tu dois adorer la matière que tu enseignes, et également adorer la transmettr",1.0,guider,100.0
OFF_009,PROPOSER,0.814,hybrid_soft_sections+verbs+NP+spacy+fuzzy,propos,NP,propos,0.8,proposer,85.71428571428572
OFF_009,ORDONNER,0.57,hybrid_soft_sections+verbs+NP+spacy+fuzzy,donner,VERB,"Ponctuellement pendant l'année, tu auras la possibilité de donner des stages intensifs.
Temps de travail hebdomadaires :",0.77,ordonner,85.71428571428572
OFF_010,ACCOMPAGNER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,accompagner,VERB,L’Entreprise vous accompagne dès votre prise poste par une formation spécifique à l’animation et à l’ingénierie pédagogique.,3.4,accompagner,100.0
OFF_010,PROMOUVOIR,0.824,hybrid_soft_sections+verbs+NP+spacy+fuzzy,pouvoir,VERB,"Grâce à cette première expérience, vous pourrez saisir de belles opportunités (management d’équipe, expertise, management de projets) au sein de l’Entreprise et du Groupe.",2.4,promouvoir,82.35294117647058
OFF_010,OFFRIR,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,offrir,VERB,Vous participez à la veille réglementaire de l’offre de formation.,2.2,offrir,100.0
OFF_010,ELABORER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,elaborer,VERB,"En tant qu’Ingénieur Formateur, vous élaborez et mettez à jour des formations spécifiques au métier de la distribution électrique (exploitation du réseau de distribution électrique, travaux sous tension, raccordement au ",2.0,elaborer,100.0
OFF_010,ANTICIPER,0.842,hybrid_soft_sections+verbs+NP+spacy+fuzzy,participer,VERB,Vous participez à l’amélioration continu des formations.,2.0,anticiper,84.21052631578947
OFF_010,IMAGINER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,imaginer,VERB,"d’un esprit créatif et curieux vous pourrez imaginer les formations de demain.
Vous êtes sensible au respect des règles de prévention / sécurité et capable de les partager.
Des déplacements ponctuels sont à prévoir sur d",1.5,imaginer,100.0
OFF_010,PREVOIR,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,prevoir,VERB,"d’un esprit créatif et curieux vous pourrez imaginer les formations de demain.
Vous êtes sensible au respect des règles de prévention / sécurité et capable de les partager.
Des déplacements ponctuels sont à prévoir sur d",1.5,prevoir,100.0
OFF_010,DEVELOPPER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,developper,VERB,"Présents sur 700 sites sur l'ensemble du territoire, nos 42 000 salariés bénéficient d'un terrain de jeu exceptionnel pour développer un réseau électrique de plus en plus intelligent, connecté et performant.",1.25,developper,100.0
OFF_010,EVALUER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,evaluer,VERB,Vous évaluez les salariés en formation par un contrôle des acquis et des connaissances.,1.2,evaluer,100.0
OFF_010,CONQUERIR,0.824,hybrid_soft_sections+verbs+NP+spacy+fuzzy,acquerir,VERB,Vous êtes débutant(e) ou avez acquis une première expérience.,1.2,conquerir,82.35294117647058
OFF_010,PROPOSER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,proposer,VERB,"selon le diplôme avec une majoration en cas de double diplôme et au-delà en fonction de l’expérience acquise.
Au-delà de votre rémunération fixe, Enedis a à cœur de vous encourager sur vos résultats et dans votre bien-êt",1.2,proposer,100.0
OFF_010,DISTRIBUER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,distribuer,VERB,"selon le diplôme avec une majoration en cas de double diplôme et au-delà en fonction de l’expérience acquise.
Au-delà de votre rémunération fixe, Enedis a à cœur de vous encourager sur vos résultats et dans votre bien-êt",1.2,distribuer,100.0
OFF_010,RECHERCHER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,rechercher,VERB,"· 23 autres personnes ont cliqué sur Postuler
Promue par un recruteur ·
 Temps plein
À propos de l’offre d’emploi
Dans le cadre du développement de nos activités et du maintien de nos compétences, nous recherchons un(e) ",1.2,rechercher,100.0
OFF_010,CONTRIBUER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,contribuer,VERB,"Vous contribuez au développement de l'offre de formation et à la conception de nouveaux produits avec des supports pédagogiques innovants (e-Learning, MOOC, Serious Game, Réalité Augmentée…).",1.0,contribuer,100.0
OFF_010,FORMER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,former,VERB,"Comme le prévoit la loi, elle a établi un code de bonne conduite auquel ses collaborateurs sont formés afin d'en respecter les principes et engagements au quotidien.",1.0,former,100.0
OFF_010,PROSPECTER,0.842,hybrid_soft_sections+verbs+NP+spacy+fuzzy,respecter,VERB,"Comme le prévoit la loi, elle a établi un code de bonne conduite auquel ses collaborateurs sont formés afin d'en respecter les principes et engagements au quotidien.",1.0,prospecter,84.21052631578947
OFF_010,ANIMER,0.792,hybrid_soft_sections+verbs+NP+spacy+fuzzy,animez,NP,animez,0.8,animer,83.33333333333334
OFF_010,APPRENDRE,0.582,hybrid_soft_sections+verbs+NP+spacy+fuzzy,prendre,VERB,"Conformément aux engagements pris par Enedis en faveur de l'accueil et de l'intégration des personnes en situation de handicap, cet emploi est ouvert à toutes et à tous sous réserve de l'aptitude médicale délivrée par la",0.35,apprendre,87.5
OFF_011,COLLABORER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,collaborer,VERB,"Nouvelles Technologies » sera plus spécialement chargé(e) de :
 Analyser les schémas techniques des projets et les spécifications fonctionnelles, pour poser l’analyse juridico-technique adéquate afin de guider les opérat",2.1,collaborer,100.0
OFF_011,OFFRIR,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,offrir,VERB,"chez Crédit Mutuel Alliance Fédérale
À propos de l’offre d’emploi",2.0,offrir,100.0
OFF_011,ANALYSER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,analyser,VERB,"Nouvelles Technologies » sera plus spécialement chargé(e) de :
 Analyser les schémas techniques des projets et les spécifications fonctionnelles, pour poser l’analyse juridico-technique adéquate afin de guider les opérat",1.25,analyser,100.0
OFF_011,REALISER,1.0,hybrid_soft_sections+verbs+NP+spacy+fuzzy,realiser,VERB,"Nouvelles Technologies » sera plus spécialement chargé(e) de :
 Analyser les schémas techniques des projets et les spécifications fonctionnelles, pour poser l’analyse juridico-technique adéquate afin de guider les opérat",1.25,realiser,100.0
